Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http:--www.aire.df.gob.mx
timeStamp:,2011-01-01 al 2011-12-31		
average_interval: 001h
version:DT001-IMD-20150901-110716
key: M-RYM8G-R8S7G-KG7VK-U7EQ2			
date,cve_station,cve_parameter,value,unit
01-01-2011 01:00,ACO,TMP,15,6
01-01-2011 01:00,MON,RH,38,6
01-01-2011 01:00,CHO,WSP,2,6
01-01-2011 01:00,CUA,WDR,180,6
01-01-2011 01:00,FAC,PBa,585,6
01-01-2011 01:00,IMP,RH,28,6
01-01-2011 01:00,MER,TMP,13,6
01-01-2011 01:00,NEZ,WSP,2,6
01-01-2011 01:00,PED,WDR,200,6
01-01-2011 01:00,SAG,RH,42,6
01-01-2011 01:00,SUR,TMP,24,6
01-01-2011 01:00,TAH,WSP,2,6
01-01-2011 01:00,TLA,WDR,28,6
01-01-2011 01:00,TPN,TMP,19,6
01-01-2011 01:00,VIF,WSP,2,6
01-01-2011 01:00,XAL,WDR,33,6
01-01-2011 02:00,ACO,RH,,6
01-01-2011 02:00,MON,RH,37,6
01-01-2011 02:00,CHO,RH,,6
01-01-2011 02:00,CUA,RH,18,6
01-01-2011 02:00,FAC,RH,26,6
01-01-2011 02:00,IMP,RH,26,6
01-01-2011 02:00,MER,RH,,6
01-01-2011 02:00,NEZ,RH,,6
01-01-2011 02:00,PED,RH,25,6
01-01-2011 02:00,SAG,RH,40,6
01-01-2011 02:00,SUR,RH,23,6
