Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http:--www.aire.df.gob.mx
timeStamp:,2011-01-01 al 2011-12-31		
average_interval: 001h
version:DT003-IMD-20150831-170421
key: M-96Z5O-7055U-E356D-UNTNQ		
date,cve_station,cve_parameter,value,unit
01-01-2011 01:00,ACO,CO,,15
01-01-2011 01:00,CAM,CO,,15
01-01-2011 01:00,CHO,CO,,15
01-01-2011 01:00,CUA,CO,,15
01-01-2011 01:00,FAC,CO,1.4,15
01-01-2011 01:00,IZT,CO,1.2,15
01-01-2011 01:00,LLA,CO,,15
01-01-2011 01:00,LPR,CO,,15
01-01-2011 01:00,MER,CO,1.4,15
01-01-2011 01:00,MON,CO,,15
01-01-2011 01:00,NEZ,CO,,15
01-01-2011 01:00,PED,CO,0.6,15
01-01-2011 01:00,SAG,CO,1.7,15
01-01-2011 01:00,SJA,CO,,15
01-01-2011 01:00,SUR,CO,2.5,15
01-01-2011 01:00,TAH,CO,,15
01-01-2011 01:00,TLA,CO,1,15
01-01-2011 01:00,TLI,CO,0.9,15
01-01-2011 01:00,TPN,CO,,15
01-01-2011 01:00,UIZ,CO,1,15
01-01-2011 01:00,VIF,PM10,1.1,15
01-01-2011 01:00,XAL,PM25,1.8,15
01-01-2011 02:00,ACO,O3,,15
01-01-2011 02:00,CAM,NO,,15
01-01-2011 02:00,CHO,NO2,,15
01-01-2011 02:00,CUA,SO2,,15
01-01-2011 02:00,FAC,PMCO,1.5,15
